Coleta	Estacao	Tratamento	Ponto	Ponto	Profundidade	TeorH2O	AT	DP	DS	Ma	Mi	PTotal	RP	P_res	pH	K	Ca	Mg	H_Al	Al	SB	CTC	V	Ca_CTC	Mg_CTC	M_Sat_Al	Est_C	T_Ar	RH	WBT	Ab_Abs
2	Outono	ILPF	P2	P7	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.0	34.5	18.6	0
2	Outono	ILPF	P2	P7	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.9	55.0	21.9	0
2	Outono	ILPF	P2	P7	0.00-0.10	0.06	886.0	2.4	1.37	0.05	0.23	0.27		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.0	55.4	18.7	12
2	Outono	ILPF	P2	P7	0.10-0.20	0.06	935.0	2.6	1.52	0.04	0.17	0.21		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	2
2	Outono	ILPF	P2	P7	0.20-0.30	0.06	899.0	2.4	1.67	0.02	0.16	0.18		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
2	Outono	ILPF	P3	P8	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.8	40.9	18.7	0
2	Outono	ILPF	P3	P8	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.5	49.3	19.0	0
2	Outono	ILPF	P3	P8	0.00-0.10	0.08	930.0	2.7	1.50	0.02	0.22	0.25		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.6	66.7	21.3	2
2	Outono	ILPF	P3	P8	0.10-0.20	0.05	926.0	2.5	1.58	0.03	0.16	0.19		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	2
2	Outono	ILPF	P3	P8	0.20-0.30	0.06	940.0	2.6	1.60	0.03	0.16	0.19		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
