Coleta	Estacao	Tratamento	Ponto	Ponto	Profundidade	TeorH2O	AT	DP	DS	Ma	Mi	PTotal	RP	P_res	pH	K	Ca	Mg	H_Al	Al	SB	CTC	V	Ca_CTC	Mg_CTC	M_Sat_Al	Est_C	T_Ar	RH	WBT	Ab_Abs
1	Primavera	Pasto	P2	P2	0.20-0.30	0.05	907.0	2.5	1.20	0.01	0.20	0.21		8	5.2	0.7	8	2	13	0	10.7	23.7	45	34	8	0	0.55	0.0	0.0	0.0	0
1	Primavera	Pasto	P3	P3	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.6	66.2	21.9	0
1	Primavera	Pasto	P3	P3	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.6	69.8	20.9	0
1	Primavera	Pasto	P3	P3	0.00-0.10	0.02	944.0	2.6	1.16	0.02	0.22	0.24		18	5.3	1.0	8	7	13	0	16.0	29.0	55	28	24	0	0.79	25.8	68.6	21.6	1
1	Primavera	Pasto	P3	P3	0.10-0.20	0.04	952.0	2.5	1.37	0.01	0.25	0.26		36	5.7	0.9	11	10	12	0	21.9	33.9	65	32	29	0	0.87	0.0	0.0	0.0	0
1	Primavera	Pasto	P3	P3	0.20-0.30	0.03	957.0	2.6	1.64	0.01	0.21	0.21		8	5.6	0.5	10	4	12	0	14.5	26.5	55	38	15	0	0.72	0.0	0.0	0.0	0
1	Primavera	Pasto	P4	P4	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.3	82.5	17.7	0
1	Primavera	Pasto	P4	P4	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.4	87.4	17.7	0
1	Primavera	Pasto	P4	P4	0.00-0.10	0.04	951.0	2.5	1.28	0.05	0.23	0.28		6	5.7	0.5	10	3	11	0	13.5	24.5	55	41	12	0	0.56	20.0	88.5	18.0	4
1	Primavera	Pasto	P4	P4	0.10-0.20	0.04	950.0	2.5	1.46	0.02	0.25	0.27		6	5.5	0.6	10	4	12	0	14.6	26.6	55	38	15	0	0.76	0.0	0.0	0.0	6
1	Primavera	Pasto	P4	P4	0.20-0.30	0.04	956.0	2.4	1.67	0.01	0.19	0.20		13	5.5	0.7	11	5	12	0	16.7	28.7	58	38	17	0	1.10	0.0	0.0	0.0	1
1	Primavera	Pasto	P5	P5	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.3	91.4	18.3	0
1	Primavera	Pasto	P5	P5	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.7	93.4	18.3	0
1	Primavera	Pasto	P5	P5	0.00-0.10	0.02	948.0	2.5	1.45	0.02	0.24	0.26		7	3.5	0.7	2	1	31	14	3.7	34.7	11	6	3	79	0.98	21.8	95.6	20.0	0
1	Primavera	Pasto	P5	P5	0.10-0.20	0.03	939.0	2.5	1.57	0.02	0.20	0.22		16	5.6	0.5	11	3	12	0	14.5	26.5	55	42	11	0	0.68	0.0	0.0	0.0	2
1	Primavera	Pasto	P5	P5	0.20-0.30	0.04	951.0	2.5	1.65	0.01	0.17	0.18		12	5.7	0.6	9	3	11	0	12.6	23.6	53	38	13	0	0.81	0.0	0.0	0.0	0
2	Outono	Pasto	P1	P6	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.2	72.3	15.6	0
2	Outono	Pasto	P1	P6	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.8	79.3	16.1	1
2	Outono	Pasto	P1	P6	0.00-0.10	0.05	933.0	2.5	2.05	0.02	0.24	0.26		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.0	74.5	16.9	2
2	Outono	Pasto	P1	P6	0.10-0.20	0.04	945.0	2.4	2.13	0.01	0.23	0.25		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	1
2	Outono	Pasto	P1	P6	0.20-0.30	0.05	942.0	2.6	2.22	0.01	0.20	0.22		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
2	Outono	Pasto	P2	P7	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.5	44.8	19.9	0
2	Outono	Pasto	P2	P7	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.8	68.0	20.0	0
2	Outono	Pasto	P2	P7	0.00-0.10	0.05	946.0	2.4	2.07	0.03	0.22	0.25		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.0	62.0	19.5	5
2	Outono	Pasto	P2	P7	0.10-0.20	0.05	927.0	2.5	1.32	0.01	0.21	0.22		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	4
2	Outono	Pasto	P2	P7	0.20-0.30	0.06	907.0	2.5	1.20	0.01	0.20	0.21		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
2	Outono	Pasto	P3	P8	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.2	65.9	19.1	0
2	Outono	Pasto	P3	P8	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.1	71.9	19.9	0
2	Outono	Pasto	P3	P8	0.00-0.10	0.04	944.0	2.6	1.16	0.02	0.22	0.24		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.7	67.7	20.3	0
2	Outono	Pasto	P3	P8	0.10-0.20	0.06	952.0	2.5	1.37	0.01	0.25	0.26		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
2	Outono	Pasto	P3	P8	0.20-0.30	0.05	957.0	2.6	1.64	0.01	0.21	0.21		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	1
2	Outono	Pasto	P4	P9	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.2	82.5	18.9	0
2	Outono	Pasto	P4	P9	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.0	65.1	20.9	0
2	Outono	Pasto	P4	P9	0.00-0.10	0.07	951.0	2.5	1.28	0.05	0.23	0.28		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.7	65.6	20.3	3
2	Outono	Pasto	P4	P9	0.10-0.20	0.09	950.0	2.5	1.46	0.02	0.25	0.27		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
2	Outono	Pasto	P4	P9	0.20-0.30	0.06	956.0	2.4	1.67	0.01	0.19	0.20		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	1
2	Outono	Pasto	P5	P10	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.9	52.0	19.7	0
2	Outono	Pasto	P5	P10	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.5	58.7	21.0	0
2	Outono	Pasto	P5	P10	0.00-0.10	0.06	948.0	2.5	1.45	0.02	0.24	0.26		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.9	54.5	21.0	0
2	Outono	Pasto	P5	P10	0.10-0.20	0.05	939.0	2.5	1.57	0.02	0.20	0.22		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
2	Outono	Pasto	P5	P10	0.20-0.30	0.04	951.0	2.5	1.65	0.01	0.17	0.18		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0
3	Primavera	Pasto	P1	P11	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.3	57.5	20.0	0
3	Primavera	Pasto	P1	P11	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.8	60.3	20.8	1
3	Primavera	Pasto	P1	P11	0.00-0.10	0.05	933.0	2.5	2.05	0.02	0.24	0.26		18	5.0	0.8	12	7	18	1	19.8	37.8	52	32	19	5	1.60	27.0	67.4	22.7	0
3	Primavera	Pasto	P1	P11	0.10-0.20	0.04	945.0	2.4	2.13	0.01	0.23	0.25		3	5.0	0.6	8	2	20	1	10.6	30.6	35	26	7	9	1.04	0.0	0.0	0.0	0
3	Primavera	Pasto	P1	P11	0.20-0.30	0.05	942.0	2.6	2.22	0.01	0.20	0.22		2	5.0	0.5	9	1	25	1	10.5	35.5	30	25	3	9	1.23	0.0	0.0	0.0	1
3	Primavera	Pasto	P2	P12	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.6	59.1	20.0	0
3	Primavera	Pasto	P2	P12	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.0	62.5	20.3	0
3	Primavera	Pasto	P2	P12	0.00-0.10	0.05	946.0	2.4	2.07	0.03	0.22	0.25		18	4.8	0.9	8	6	20	2	14.9	34.9	43	23	17	12	1.05	26.7	67.4	22.5	0
3	Primavera	Pasto	P2	P12	0.10-0.20	0.04	927.0	2.5	1.32	0.01	0.21	0.22		2	4.9	0.6	7	2	18	1	9.6	27.6	35	25	7	9	0.71	0.0	0.0	0.0	0
3	Primavera	Pasto	P2	P12	0.20-0.30	0.05	907.0	2.5	1.20	0.01	0.20	0.21		2	4.9	0.5	7	1	22	2	8.5	30.5	28	23	3	19	0.62	0.0	0.0	0.0	0
3	Primavera	Pasto	P3	P13	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.5	57.2	20.0	0
3	Primavera	Pasto	P3	P13	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.6	58.4	20.0	0
3	Primavera	Pasto	P3	P13	0.00-0.10	0.05	944.0	2.6	1.16	0.02	0.22	0.24		10	5.1	0.7	9	8	16	1	17.7	33.7	53	27	24	5	0.65	25.9	74.6	21.1	1
3	Primavera	Pasto	P3	P13	0.10-0.20	0.03	952.0	2.5	1.37	0.01	0.25	0.26		2	5.3	0.5	9	3	15	0	12.5	27.5	45	33	11	0	0.66	0.0	0.0	0.0	1
3	Primavera	Pasto	P3	P13	0.20-0.30	0.03	957.0	2.6	1.64	0.01	0.21	0.21		10	5.3	0.5	9	2	16	0	11.5	27.5	42	33	7	0	0.77	0.0	0.0	0.0	1
3	Primavera	Pasto	P4	P14	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.6	58.1	19.1	0
3	Primavera	Pasto	P4	P14	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.5	64.3	20.8	0
3	Primavera	Pasto	P4	P14	0.00-0.10	0.05	951.0	2.5	1.28	0.05	0.23	0.28		15	5.2	0.7	16	15	15	0	31.7	46.7	68	34	32	0	0.76	25.5	74.3	21.5	1
3	Primavera	Pasto	P4	P14	0.10-0.20	0.05	950.0	2.5	1.46	0.02	0.25	0.27		5	5.4	0.5	9	3	13	0	12.5	25.5	49	35	12	0	0.67	0.0	0.0	0.0	0
3	Primavera	Pasto	P4	P14	0.20-0.30	0.04	956.0	2.4	1.67	0.01	0.19	0.20		3	5.3	0.5	8	2	15	0	10.5	25.5	41	31	8	0	0.68	0.0	0.0	0.0	0
3	Primavera	Pasto	P5	P15	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.5	67.0	20.0	0
3	Primavera	Pasto	P5	P15	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.3	75.7	20.5	1
3	Primavera	Pasto	P5	P15	0.00-0.10	0.05	948.0	2.5	1.45	0.02	0.24	0.26		5	4.7	0.6	5	3	20	2	8.6	28.6	30	17	10	19	0.74	24.1	71.2	20.0	1
3	Primavera	Pasto	P5	P15	0.10-0.20	0.06	939.0	2.5	1.57	0.02	0.20	0.22		1	4.9	0.5	6	1	18	2	7.5	25.5	29	24	4	21	0.70	0.0	0.0	0.0	0
3	Primavera	Pasto	P5	P15	0.20-0.30	0.05	951.0	2.5	1.65	0.01	0.17	0.18		1	4.9	0.5	5	1	15	2	6.5	21.5	30	23	5	24	0.69	0.0	0.0	0.0	0
4	Verao	Pasto	P1	P16	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.6	71.1	71.8	0
4	Verao	Pasto	P1	P16	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.6	72.3	72.8	0
4	Verao	Pasto	P1	P16	0.00-0.10	0.01	933.0	2.5	2.05	0.02	0.24	0.26		21	4.6	0.7	7	4	15	2	11.7	26.7	44	26	15	15	1.03	22.6	72.3	72.8	1
4	Verao	Pasto	P1	P16	0.10-0.20	0.03	945.0	2.4	2.13	0.01	0.23	0.25		17	4.3	0.6	4	2	18	4	6.6	24.6	27	16	8	38	0.79	0.0	0.0	0.0	4
4	Verao	Pasto	P1	P16	0.20-0.30	0.04	942.0	2.6	2.22	0.01	0.20	0.22		17	4.3	0.6	3	2	18	4	5.6	23.6	24	13	8	42	0.84	0.0	0.0	0.0	0
4	Verao	Pasto	P2	P17	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.6	75.8	76.7	0
4	Verao	Pasto	P2	P17	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.2	76.7	75.7	0
4	Verao	Pasto	P2	P17	0.00-0.10	0.04	946.0	2.4	2.07	0.03	0.22	0.25		29	4.5	0.6	6	3	15	2	9.6	24.6	39	24	12	17	0.88	22.2	76.7	75.7	1
4	Verao	Pasto	P2	P17	0.10-0.20	0.05	927.0	2.5	1.32	0.01	0.21	0.22		20	4.1	0.6	3	2	18	6	5.6	23.6	24	13	8	52	0.52	0.0	0.0	0.0	0
4	Verao	Pasto	P2	P17	0.20-0.30	0.04	907.0	2.5	1.20	0.01	0.20	0.21		21	4.1	0.6	3	2	18	6	5.6	23.6	24	13	8	52	0.48	0.0	0.0	0.0	0
4	Verao	Pasto	P3	P18	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.1	72.4	73.9	0
4	Verao	Pasto	P3	P18	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.5	71.9	71.8	0
4	Verao	Pasto	P3	P18	0.00-0.10	0.04	944.0	2.6	1.16	0.02	0.22	0.24		24	4.9	0.6	7	4	13	1	11.6	24.6	47	28	16	8	0.56	23.5	71.9	71.8	0
4	Verao	Pasto	P3	P18	0.10-0.20	0.04	952.0	2.5	1.37	0.01	0.25	0.26		16	4.9	0.6	6	2	15	1	8.6	23.6	36	25	8	10	0.54	0.0	0.0	0.0	0
4	Verao	Pasto	P3	P18	0.20-0.30	0.05	957.0	2.6	1.64	0.01	0.21	0.21		16	5.0	0.5	7	2	13	1	9.5	22.5	42	31	9	10	0.64	0.0	0.0	0.0	0
4	Verao	Pasto	P4	P19	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.6	72.9	73.0	0
4	Verao	Pasto	P4	P19	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.8	70.9	70.9	0
4	Verao	Pasto	P4	P19	0.00-0.10	0.04	951.0	2.5	1.28	0.05	0.23	0.28		18	4.4	0.6	6	3	16	2	9.6	25.6	37	23	12	17	0.65	23.8	70.9	70.9	2
4	Verao	Pasto	P4	P19	0.10-0.20	0.04	950.0	2.5	1.46	0.02	0.25	0.27		3	4.4	0.6	3	1	16	4	4.6	20.6	22	15	5	47	0.56	0.0	0.0	0.0	1
4	Verao	Pasto	P4	P19	0.20-0.30	0.04	956.0	2.4	1.67	0.01	0.19	0.20		2	4.5	0.6	3	1	15	4	4.6	19.6	23	15	5	47	0.67	0.0	0.0	0.0	0
4	Verao	Pasto	P5	P20	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.3	71.5	74.5	0
4	Verao	Pasto	P5	P20	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.4	72.7	75.5	0
4	Verao	Pasto	P5	P20	0.00-0.10	0.04	948.0	2.5	1.45	0.02	0.24	0.26		13	4.4	0.7	9	4	20	3	13.7	33.7	41	27	12	18	1.13	24.4	72.7	75.5	1
4	Verao	Pasto	P5	P20	0.10-0.20	0.04	939.0	2.5	1.57	0.02	0.20	0.22		3	4.3	0.6	4	2	18	6	6.6	24.6	27	16	8	48	0.68	0.0	0.0	0.0	0
4	Verao	Pasto	P5	P20	0.20-0.30	0.03	951.0	2.5	1.65	0.01	0.17	0.18		2	4.3	0.6	4	2	18	6	6.6	24.6	27	16	8	48	0.74	0.0	0.0	0.0	0
1	Primavera	Mata	P1	P1	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.9	85.6	18.6	0
1	Primavera	Mata	P1	P1	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.9	87.9	18.6	0
1	Primavera	Mata	P1	P1	0.00-0.10	0.02	967.0	2.5	1.36	0.04	0.21	0.25		18	5.5	0.6	7	4	11	0	11.6	22.6	51	31	18	0	0.56	21.1	89.6	19.6	4
1	Primavera	Mata	P1	P1	0.10-0.20	0.03	919.0	2.5	1.49	0.03	0.19	0.22		4	4.0	0.5	2	1	20	10	3.5	23.5	15	9	4	74	0.62	0.0	0.0	0.0	1
1	Primavera	Mata	P1	P1	0.20-0.30	0.03	913.0	2.5	1.39	0.06	0.19	0.25		4	3.8	0.7	2	1	22	12	3.7	25.7	14	8	4	76	0.65	0.0	0.0	0.0	0
1	Primavera	Mata	P2	P2	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.7	82.5	19.9	0
1	Primavera	Mata	P2	P2	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.8	86.8	20.6	3
1	Primavera	Mata	P2	P2	0.00-0.10	0.03	917.0	2.5	1.31	0.02	0.15	0.17		7	3.8	0.7	1	1	47	18	2.7	49.7	5	2	2	87	1.32	23.0	85.8	20.9	2
1	Primavera	Mata	P2	P2	0.10-0.20	0.02	819.0	2.4	1.44	0.03	0.14	0.17		15	4.0	1.3	4	3	64	28	8.3	72.3	11	6	4	77	2.55	0.0	0.0	0.0	5
1	Primavera	Mata	P2	P2	0.20-0.30	0.02	919.0	2.3	1.51	0.05	0.19	0.24		14	3.3	1.0	3	2	121	17	6.0	127.0	5	2	2	74	4.13	0.0	0.0	0.0	1
1	Primavera	Mata	P3	P3	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.7	83.8	19.9	0
1	Primavera	Mata	P3	P3	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.0	89.0	21.6	1
1	Primavera	Mata	P3	P3	0.00-0.10	0.03	957.0	2.5	1.18	0.07	0.20	0.27		6	3.8	0.6	2	1	42	18	3.6	45.6	8	4	2	83	1.04	23.5	83.9	20.9	1
1	Primavera	Mata	P3	P3	0.10-0.20	0.03	956.0	2.5	1.39	0.05	0.21	0.26		5	3.5	0.6	1	1	42	22	2.6	44.6	6	2	2	89	0.95	0.0	0.0	0.0	0
1	Primavera	Mata	P3	P3	0.20-0.30	0.03	936.0	2.4	1.43	0.03	0.23	0.26		7	3.4	0.7	1	1	64	18	2.7	66.7	4	1	1	87	1.87	0.0	0.0	0.0	0
1	Primavera	Mata	P4	P4	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.2	79.5	20.3	0
1	Primavera	Mata	P4	P4	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.3	84.3	20.9	1
1	Primavera	Mata	P4	P4	0.00-0.10	0.02	950.0	2.6	1.15	0.06	0.28	0.35		6	4.6	0.6	1	1	52	8	2.6	54.6	5	2	2	75	0.98	23.1	86.8	20.9	1
1	Primavera	Mata	P4	P4	0.10-0.20	0.03	891.0	2.4	1.45	0.05	0.18	0.23		12	3.3	0.9	1	1	88	32	2.9	90.9	3	1	1	92	2.28	0.0	0.0	0.0	2
1	Primavera	Mata	P4	P4	0.20-0.30	0.03	954.0	2.5	1.50	0.05	0.21	0.26		4	3.7	0.6	1	1	34	16	2.6	36.6	7	3	3	86	0.95	0.0	0.0	0.0	0
1	Primavera	Mata	P5	P5	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.9	76.0	20.3	0
1	Primavera	Mata	P5	P5	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.0	80.9	24.2	0
1	Primavera	Mata	P5	P5	0.00-0.10	0.02	941.0	2.6	1.23	0.02	0.10	0.13		11	3.6	9.0	3	2	80	25	14.0	94.0	15	3	2	64	2.48	24.3	80.0	21.2	0
1	Primavera	Mata	P5	P5	0.10-0.20	0.02	957.0	2.6	1.49	-0.03	0.19	0.16		5	3.8	0.8	2	1	34	16	3.8	37.8	10	5	3	81	1.05	0.0	0.0	0.0	1
1	Primavera	Mata	P5	P5	0.20-0.30	0.02	949.0	2.4	1.47	0.03	0.18	0.21		7	3.6	0.9	0	1	52	20	1.9	53.9	4	0	2	91	1.59	0.0	0.0	0.0	0
2	Outono	Mata	P1	P6	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.2	49.0	17.8	0
2	Outono	Mata	P1	P6	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.0	65.0	18.9	3
2	Outono	Mata	P1	P6	0.00-0.10	0.09	967.0	2.5	1.36	0.04	0.21	0.25		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.4	74.6	19.6	6
2	Outono	Mata	P1	P6	0.10-0.20	0.07	919.0	2.5	1.49	0.03	0.19	0.22		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	3
